Bill of Materials  Tennis Robot;;;;;
;;;;;
#;Component / Description;Price (CHF);Price (USD);Link;Notes
1;2x SURPASS HOBBY 3530 Brushless Motor + Skywalker 40A ESC Combo + XT60;59.58;75.583188;View Product;
2;Wellpower LiPo Battery 4200mAh 14.8V 4S 35/70C XT-60;53.6;67.99696;View Product;
3;"Rubber Tire Covers 1.9"" (4 pcs)";10.39;13.180754;View Product;
4;L298N Motor Driver;0.84;1.065624;View Product;
5;4x TT Motors;2.88;3.653568;View Product;
6;4x Servo 9g;5.49;6.964614;View Product;
7;Conveyor Belt (F—rderband);4.85;6.15271;View Product;
8;OV13855 Camera Module;20;25.372;View Product;
9;Headlights 6500K (Scheinwerfer);4.25;5.39155;View Product;
10;MPU-6050 3-Axis Accelerometer + Gyroscope;2.89;3.666254;View Product;
12;Orange Pi 5;84.99;107.818314;View Product;
13;Filament 3kg PLA Black;38.55;48.90453;View Product;
14;4x IR Sensor;5.24;6.647464;View Product;
15;M4 Screws;5.11;6.482546;View Product;
16;Step Down XL4016;2.49;3.158814;View Product;
TOTAL;;301.15;382.03889;;
